horizon,ranker,cutoff,n_feat,model,MSE,RMSE,MAE,DirAcc
2,Lasso,0.001,14,GradientBoosting,1.391451353683282,1.1795979627327617,0.7661205490224842,0.5619834710743802
2,Lasso,0.001,14,MLP,1.4227610931253185,1.1927954950976796,0.8164277742821584,0.5702479338842975
2,Lasso,0.001,14,XGBoost,1.7603977170584981,1.3267998029312855,0.8947209068787272,0.5371900826446281
2,Lasso,0.001,14,RandomForest,1.7973138769246173,1.3406393537878176,0.8647110865441784,0.5206611570247934
2,Lasso,0.001,14,Ensemble_Avg,1.0009356571117975,1.0004677191752853,0.6780768331168575,0.5702479338842975
2,Lasso,0.001,14,Ensemble_Weighted,0.9661600218399488,0.9829343934566278,0.6703703774079579,0.5785123966942148
2,Lasso,0.001,14,Avg(Lasso+Ridge),0.8391575866595854,0.916055449555094,0.6463433022717069,0.5537190082644629
2,Lasso,0.001,14,Avg(top3),0.8676774550305106,0.9314920584903076,0.6573813629054558,0.5371900826446281
2,Lasso,0.002,14,Lasso,0.7772665351607971,0.8816272087230504,0.6148478587638497,0.5289256198347108
2,Lasso,0.002,14,Ridge,0.9292282702944881,0.9639648698445852,0.6800075051943775,0.5454545454545454
2,Lasso,0.002,14,Linear,0.9354919949443461,0.9672083513619731,0.6812597301022725,0.5454545454545454
2,Lasso,0.002,14,LightGBM,1.3609016917896715,1.166576912076384,0.8100977715075213,0.5702479338842975
2,Lasso,0.002,14,GradientBoosting,1.391451353683282,1.1795979627327617,0.7661205490224842,0.5619834710743802
2,Lasso,0.002,14,MLP,1.4227610931253185,1.1927954950976796,0.8164277742821584,0.5702479338842975
2,Lasso,0.002,14,XGBoost,1.7603977170584981,1.3267998029312855,0.8947209068787272,0.5371900826446281
2,Lasso,0.002,14,RandomForest,1.7973138769246173,1.3406393537878176,0.8647110865441783,0.5206611570247934
2,Lasso,0.002,14,Ensemble_Avg,1.000935657111797,1.000467719175285,0.6780768331168575,0.5702479338842975
2,Lasso,0.002,14,Ensemble_Weighted,0.9661600218399488,0.9829343934566278,0.6703703774079579,0.5785123966942148
2,Lasso,0.002,14,Avg(Lasso+Ridge),0.8391575866595854,0.916055449555094,0.6463433022717069,0.5537190082644629
2,Lasso,0.002,14,Avg(top3),0.8676774550305106,0.9314920584903076,0.6573813629054558,0.5371900826446281
2,Lasso,0.005,13,Lasso,0.7755725454625321,0.880665967017309,0.6059165631873779,0.512396694214876
2,Lasso,0.005,13,MLP,0.8251405996993815,0.9083725005191325,0.666864528691752,0.47107438016528924
2,Lasso,0.005,13,Ridge,0.9400953509900073,0.9695851437547954,0.6722632696189033,0.5454545454545454
2,Lasso,0.005,13,Linear,0.9462243170474279,0.9727406216702518,0.6732415926780169,0.5371900826446281
2,Lasso,0.005,13,GradientBoosting,1.3553709482970044,1.1642039977156085,0.7591615912717967,0.5371900826446281
2,Lasso,0.005,13,LightGBM,1.622529155678812,1.2737853648393092,0.8597378081616711,0.5537190082644629
2,Lasso,0.005,13,RandomForest,1.7429916731101769,1.320224099579377,0.8545676646971967,0.5206611570247934
2,Lasso,0.005,13,XGBoost,1.76766815795602,1.329536820834993,0.8830264094616912,0.512396694214876
2,Lasso,0.005,13,Ensemble_Avg,0.8902939015482219,0.9435538678571679,0.6377754697929103,0.5702479338842975
2,Lasso,0.005,13,Ensemble_Weighted,0.8159169899457238,0.9032812352449949,0.6191991536991037,0.5702479338842975
2,Lasso,0.005,13,Avg(Lasso+MLP),0.4844849627621458,0.69604954045107,0.4708506692702559,0.5289256198347108
2,Lasso,0.005,13,Avg(top3),0.5599000691174274,0.7482647052463636,0.5189694125069683,0.5454545454545454
2,Lasso,0.01,12,Lasso,0.7750225418746705,0.8803536459143396,0.6056567126348016,0.512396694214876
2,Lasso,0.01,12,MLP,0.8723577677296799,0.934000946321619,0.6477632784691666,0.4462809917355372
2,Lasso,0.01,12,Ridge,0.9316001742373201,0.9651943712213205,0.6712206515706169,0.5371900826446281
2,Lasso,0.01,12,Linear,0.9382157370618437,0.968615371064203,0.6721803396451991,0.5371900826446281
2,Lasso,0.01,12,GradientBoosting,1.3784145013623343,1.1740589854697823,0.7966157690557909,0.5289256198347108
2,Lasso,0.01,12,LightGBM,1.6823031123780419,1.297036280285961,0.8746281233002746,0.5371900826446281
2,Lasso,0.01,12,XGBoost,1.758514299492731,1.326089853476276,0.898783669650846,0.5206611570247934
2,Lasso,0.01,12,RandomForest,1.8099573562918705,1.345346556204709,0.8745529432568437,0.5206611570247934
2,Lasso,0.01,12,Ensemble_Avg,0.9426796111546221,0.9709168919915968,0.6655276901794124,0.5702479338842975
2,Lasso,0.01,12,Ensemble_Weighted,0.8748608902155155,0.9353399864303437,0.6496462420334133,0.5785123966942148
2,Lasso,0.01,12,Avg(Lasso+MLP),0.5952537872914252,0.7715269193563017,0.5464551901416559,0.5454545454545454
2,Lasso,0.01,12,Avg(top3),0.6627300688069466,0.814082347681699,0.579377152263885,0.5702479338842975
2,Lasso,0.02,10,Lasso,0.7362446203942559,0.8580469802955173,0.5999248390632558,0.512396694214876
2,Lasso,0.02,10,Ridge,0.8580522334731314,0.9263110889291628,0.6521298582269967,0.5537190082644629
2,Lasso,0.02,10,Linear,0.8614008556855778,0.9281168329933348,0.6525601322578921,0.5454545454545454
2,Lasso,0.02,10,MLP,1.1503812925356653,1.072558293304222,0.7454142283920435,0.4462809917355372
2,Lasso,0.02,10,GradientBoosting,1.7297473479604923,1.3151985963954236,0.8724945770901227,0.512396694214876
2,Lasso,0.02,10,LightGBM,1.7573192311615975,1.325639178344393,0.9269660517487252,0.5371900826446281
2,Lasso,0.02,10,XGBoost,1.8904142049307002,1.3749233451108103,0.9173070266582154,0.5289256198347108
2,Lasso,0.02,10,RandomForest,1.9214982026243879,1.3861811579387406,0.8947856665898277,0.5206611570247934
2,Lasso,0.02,10,Ensemble_Avg,1.0531549831369906,1.0262333960347376,0.7045631076472316,0.5454545454545454
2,Lasso,0.02,10,Ensemble_Weighted,0.9775477645185039,0.9887101519244677,0.6860077796875071,0.5537190082644629
